StationUID,StationID,StationName/Zh_tw,StationName/En,StationPosition/PositionLon,StationPosition/PositionLat,StationAddress,StationPhone,StationClass,StationURL
TRA-4220,4220,臺南,Tainan,120.21231,22.99719,70146臺南市東區成大里北門路二段 4 號,06-2261314,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4220
TRA-4250,4250,保安,Bao'an,120.23143,22.93289,71755臺南市仁德區保安里文賢路一段 529 巷 10 號,06-2665988,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4250
TRA-4260,4260,仁德,Rende,120.24061,22.92364,71750臺南市仁德區保安里永德路 10 號,06-2669383,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4260
TRA-4270,4270,中洲,Zhongzhou,120.25286,22.90466,71754臺南市仁德區中洲五街236號,06-2667191,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4270
TRA-4271,4271,長榮大學,Chang Jung Christian University,120.27274,22.90735,71150臺南市歸仁區大潭里長大路15 號,06-2782615,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4271
TRA-4272,4272,沙崙,Shalun,120.28635,22.92419,71151臺南市歸仁區沙崙里歸仁大道 102 號,06-3032686,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4272
TRA-4290,4290,大湖,Dahu,120.25384,22.87821,82144高雄市路竹區甲南里天祐路 24 號,07-6932127,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4290
TRA-4300,4300,路竹,Luzhu,120.26619,22.85404,82146高雄市路竹區竹南里中正路 288 號,07-6072723,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4300
TRA-4310,4310,岡山,Gangshan,120.30008,22.79251,82065高雄市岡山區碧紅里岡燕路 111 號,07-6212074,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4310
TRA-4320,4320,橋頭,Qiaotou,120.31043,22.76113,82548高雄市橋頭區橋頭里站前街 14 號,07-6115424,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4320
TRA-4330,4330,楠梓,Nanzi,120.32453,22.72717,81162高雄市惠楠里建楠路 229 號,07-3510175,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4330
TRA-4340,4340,新左營,Xinzuoying,120.30721,22.68721,81354高雄市左營區尾北里站前北路 1 號,07-5887825,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4340
TRA-4350,4350,左營,Zuoying,120.29441,22.67441,81351高雄市左營區翠華路1050號地下1層,07-5887835,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4350
TRA-4360,4360,內惟,Neiwei,120.28691,22.66611,804高雄市鼓山區翠華路500號地下1層,07-5886119,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4360
TRA-4370,4370,美術館,Museum of Fine Arts,120.28163,22.65298,80460高雄市鼓山區翠華路246號,07-5215147,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4370
TRA-4380,4380,鼓山,Gushan,120.28071,22.64169,80445高雄市鼓山區鐵路街20巷6號,07-5217014,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4380
TRA-4390,4390,三塊厝,Sankuaicuo,120.29381,22.63901,80748高雄市三民區德北里6鄰康平街1號,07-2856234,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4390
TRA-4400,4400,高雄,Kaohsiung,120.30313,22.63801,80750高雄市三民區港西里建國二路 318 號,07-2352376,0,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4400
TRA-4410,4410,民族,Minzu,120.31479,22.63881,807高雄市三民區博惠里14鄰凱旋一路260號,07-2231492,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4410
TRA-4420,4420,科工館,Science And Technology Museum,120.32663,22.63702,807高雄市三民區寶盛里15鄰大順三路307號,07-2234778,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4420
TRA-4430,4430,正義,Zhengyi,120.34245,22.63425,802高雄市苓雅區建軍里正義路 308 號 B1,07-7999818,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4430
TRA-4440,4440,鳳山,Fongshan,120.35746,22.63131,83064高雄市鳳山區曹公里曹公路 137 號,07-7460423,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4440
TRA-4450,4450,後庄,Houzhuang,120.39132,22.64013,83143高雄市大寮區後庄里民慶街 9 號,07-7020149,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4450
TRA-4460,4460,九曲堂,Jiuqutang,120.42072,22.65658,84041高雄市大樹區久堂里久堂路鐵路巷 15 號,07-6512020,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4460
TRA-4470,4470,六塊厝,Liukuaicuo,120.46491,22.66619,90082屏東縣屏東市長安里光復路 392 號,08-7515140,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4470
TRA-5000,5000,屏東,Pingtung,120.48627,22.66961,90078屏東縣屏東市擇仁里公勇路 62 號,08-7515140,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5000
TRA-5010,5010,歸來,Guilai,120.50294,22.65214,90043屏東縣屏東市歸來里歸仁路 5 之 4 號,08-7515140,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5010
TRA-5020,5020,麟洛,Linluo,120.51446,22.63478,90941屏東縣麟洛鄉田道村中華路站前巷 15 號,08-7515140,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5020
TRA-5030,5030,西勢,Xishi,120.52677,22.61661,91142屏東縣竹田鄉西勢村西豐路 2 號,08-7784521,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5030
TRA-5040,5040,竹田,Zhutian,120.54009,22.58648,91144屏東縣竹田鄉履豐村豐明路29 號,08-7711002,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5040
TRA-5050,5050,潮州,Chaozhou,120.53662,22.55007,92045屏東縣潮州鎮新榮里信義路 111 號,08-7882739,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5050
TRA-5060,5060,崁頂,Kanding,120.51481,22.51311,92442屏東縣崁頂鄉崁頂村中正路 122 號,08-7882739,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5060
TRA-5070,5070,南州,Nanzhou,120.51159,22.49203,92643屏東縣南州鄉仁里村仁里路 86 號,08-8642942,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5070
TRA-5080,5080,鎮安,Zhen'an,120.51151,22.45794,92748屏東縣林邊鄉鎮安村永和路 4 號,08-8642942,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5080
TRA-5090,5090,林邊,Linbian,120.51538,22.43141,92744屏東縣林邊鄉仁和村仁愛路 33 號,08-8751475,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5090
TRA-5100,5100,佳冬,Jiadong,120.54782,22.41416,931屏東縣佳冬鄉六根村復興路21號,08-8662939,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5100
TRA-5110,5110,東海,Donghai,120.57252,22.39903,94042屏東縣枋寮鄉東海村西安路 92 號,08-8782041,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5110
TRA-5120,5120,枋寮,Fangliao,120.59501,22.36786,94043屏東縣枋寮鄉枋寮村儲運路 18 號,08-8782041,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5120
TRA-5130,5130,加祿,Jialu,120.62445,22.33085,94145屏東縣枋山鄉加祿村會社 53 號,08-8720791,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5130
TRA-5140,5140,內獅,Neishi,120.64322,22.30615,94150屏東縣枋山鄉加祿村南和 43 號,08-8720791,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5140
TRA-5160,5160,枋山,Fangshan,120.65968,22.26677,94350屏東縣獅子鄉內獅村內獅巷 84 號,08-8720791,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5160
TRA-5170,5170,枋野,Fangye,120.71709,22.28091,94350屏東縣獅子鄉內獅村內獅巷 88 號,08-8761953,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5170
TRA-5190,5190,大武,Dawu,120.90091,22.36537,96541臺東縣大武鄉大鳥村和平部落 33 號,089-792056,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5190
TRA-5200,5200,瀧溪,Longxi,120.94188,22.46072,96345臺東縣太麻里鄉多良村大溪 37 號,089-761482,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5200
TRA-5210,5210,金崙,Jinlun,120.96721,22.53161,96344臺東縣太麻里鄉金崙村金崙 47 之 17 號,089-771068,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5210
TRA-5220,5220,太麻里,Taimali,121.00505,22.61879,96346臺東縣太麻里鄉大王村站前路 2 號,089-781544,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5220
TRA-5230,5230,知本,Zhiben,121.06128,22.71008,95093臺東縣臺東市知本里知本路二段 900 巷 85 號,089-514482,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5230
TRA-5240,5240,康樂,Kangle,121.09338,22.76406,95060臺東縣臺東市康樂里博物館路 51 巷 131 號,089-383107,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5240
TRA-5999,5999,潮州基地,Chaozhou Railway Workshop,120.52642,22.52231,92054屏東縣潮州鎮光春里光復路 616 號,08-7889880,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/5999
TRA-6000,6000,臺東,Taitung,121.12326,22.79375,95058臺東縣臺東市岩灣里岩灣路 101 巷 598 號,089-229687,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/6000
TRA-6010,6010,山里,Shanli,121.13778,22.86194,95443臺東縣卑南鄉嘉豐村山里路 108 號,089-572370,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/6010
TRA-6020,6020,鹿野,Luye,121.13696,22.91251,95542臺東縣鹿野鄉鹿野村中正路 38 號,089-550217,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/6020
